24 dicembre 2017,40,Di.....,".... passaggio a Milano, visito questo locale per la seconda volta per un brunch veloce. La proposta del giorno per i primi piatti è stata molto valida e gustosa. Prezzi, per me che vengo dalla provincia friulana, consoni alla qualità e alla bellezza del locale."
16 dicembre 2017,30,Un buon brunch,"Sono stata in questo locale per il brunch domenicale. I menù del brunch che vengono offerti sono completi: caffè, succo, uova, bacon, pancakes, French toast ecc. Buono e prezzi medi per il brunch."
13 novembre 2017,10,Negativo,"Prezzi molto elevati (due tazze thè €.8,00) senza un biscotto. Servizio particolarmente scadente e non all'altezza del locale."
4 novembre 2017,50,Brunch da leccarsi i baffi!,"Sono venuto qua con gli amici e abbiamo preso diversi tipi di brunch, tutti buoni ed abbondanti! Consiglio quello con L' hamburger, ma è molto buono anche quello con il salmone. Da tornarci!!"
4 novembre 2017,10,Da evitare,Ci siamo fermati per bere una birra .il calice 0.33 era riempito a 3/4 e spillata male. Con uno stuzzichino poco più che misero 6€ a birra ! Neanche a Manhattan . Assolutamente da evitare !
2 novembre 2017,30,Non rifarei il brunch,"Brunch Saint Germain. Nella media buono, nulla di particolarmente ricercato; immotivatamente costosetto"
31 ottobre 2017,30,Buon brunch domenicale,"Il brunch non è a buffet, ma è servito al tavolo. Propongono quattro diversi menu. Qualità buona. Servizio abbastanza veloce. Il locale è piccolo e molto rumoroso."
29 ottobre 2017,40,Buon aperitivo davvero,Luogo carino piccolino intimo con un buffet d’aperitivo davvero buono C’è da aspettare un po’ per il tavolino ma ne vale la pena
20 ottobre 2017,10,Braccino corto corto corto,"L’aperitivo una volta era un tripudio di pizze e pizzette, oggi due bruschette striminzite, couscous vari e verdurine, cocktail buoni, vino poco poco. Prezzo tanto tanto!!!"
13 ottobre 2017,50,Migliore cappuccino,"Cercavo un posto per la colazione a Milano, mi sono fidata da un articolo trovato sul internet ma non immaginavo che fossi così buono, cornetto alla mandorla e cappuccino, ma il miglior cappuccino che ho mai preso. Spero di tornare presto a Milano."
10 ottobre 2017,10,Maleducazione da parte del responsabile,Sono stato in questo locale dove l'accoglienza e veramente buona....ho preso una birra e nn hanno portato nemmeno una patatina ma ve bene....il locale e molto bello ma un consiglio cambiate il responsabile perche la sua sgorbutezza e unica....
3 ottobre 2017,50,Servizio ed atmosfera,"Siamo venuti a fare aperitivo da pandenus, in via tadino, a fine agosto. Le cameriere sono state molto cordiali e rispettose e i tempi di attesa sono stati minimi. Atmosfera piacevole e ottimi cocktails. Consigliatissimo!"
2 ottobre 2017,50,Tutto ottimo!,"Perfetto per un brunch, si può scegliere tra menù italiano e internazionale, tutti a prezzo fisso. Il personale è stato molto gentile e disponibile, il servizio rapido e gradevole. Ottima posizione, abbiamo scelto quello vicino Porta Venezia. Lo consiglio per iniziare al meglio il weekend."
11 settembre 2017,50,Un grande barman,Drink fantastici e barman esperto e accogliente. Ci ha fatto sentire a casa. Davvero complimenti. Il buffet è da migliorare ma la professionalità del ragazzo al bancone compensa tutto. Torneremo sicuramente
27 agosto 2017,30,Spritz Bianco,"Ottimo spritz bianco e moscow mule. Da arricchire il buffet. Il locale e' molto carino, in assenza di aria condizionata metterei almeno dei ventilatori."
20 agosto 2017,40,Ottimo Locale per brunch internazionali - prezzi un po' cari,"Il locale pandenus offre ottimi brunch internazionali con prodotti di qualità. L'unica pecca è il prezzo, un po' troppo alto per ciò che viene dato al cliente. Un brunch costa circa 25 € con succo all'arancia/ananas incluso."
30 luglio 2017,50,Pausa pranzo sana e relax,"Frequento i vari Pandenus da anni dalla colazione, al pranzo, all'aperitivo, al brunch. Bell'ambiente, ottimo servizio e piatti sani, gustosi con una marcia in più!"
13 luglio 2017,40,Un buon apericena,"Siamo andati in questo locale alle 19.30 per attendere l'apertura di un ristorante e alla fine abbiamo ""mangiato"" con i tanti stuzzichini preparati. Tutto molto buono, compresi i drink. Servizio efficiente e prezzo corretto. Bravi."
27 giugno 2017,30,Atmosfera,"Una serata tranquilla, tra amiche, un buon cocktail e della pizza appena sfornata ottima! Zona carina tra Porta Venezia e Lima, si sta proprio bene!"
26 giugno 2017,40,Merenda ... un pò pesante!,"Sono stata alcune amiche per un caffè di metà pomeriggio ... mi hanno servito una crema caffè (enorme!) fatta al momento, buona anche se un pò troppo pannosa, ci ho messo 3 ore per digerirla ..."
14 maggio 2017,40,Ottimo posto!,"Siamo stati qui a fare il brunch, con amici. Ci siamo alzati sazi. Ci torneremo sicuramente. Prezzi un pochino alti, ma ne vale la pena!"
4 maggio 2017,30,Aperitivo - prenotate perché è piccolo,"L'aperitivo è carino perché offre abbastanza cibo (anche buono) tipo pizze di tanti tipi, cous cous, riso con verdure, polpettine e bruschette. È molto rumoroso perché sempre pieno e piccolo. Conviene prenotare! Comunque in zona una valida alternativa per compagnie di amici..non intimo!"
3 maggio 2017,30,Un buon brunch,"Sono stato due volte per brunch, provando due menù differenti (salmone e hamburger). Direi buono, nella media. Ci tornerò."
26 aprile 2017,50,Delizioso❤️️,"Ambiente delizioso,le persone che ci lavorano sono sempre molto gentili e disponibili!!è il mio appuntamento settimanale con le amiche e in qst occasione veniamo regolarmente coccolate😃😍😃lo consiglio vivamente a chi ha voglia di sentirsi un po' come a casa!❤️️Cate"
24 aprile 2017,30,Più apparenza che sostanza,"Il locale e la presentazione di quello che ti servono è curata e gradevole, ma il sapore non c'è e i prezzi così alti sono ingiustificati."
21 aprile 2017,50,tutto ottimo,"pasta al cavolfiore: voto 10 tartare di angus: voto 9 (tartare ottima, patate un po' troppo pesanti crostate voto 10 mezza luna di soglia e mele voto 10"
13 aprile 2017,40,Carino,Un piccolo locale che offre aperitivi e happy hour a prezzi nella media . Personalmente il cocktail che ho preso era molto buono e anche il cibo del buffet. Unica pecca gli spazi sono davvero stretti e la musica un po' troppo alta.
18 marzo 2017,10,Acqua con sfumature di spritz a solo 9€!!,"Pseudo spritz in bicchiere piccolo a 9€ (solo drink, non abbiamo toccato nulla dal buffet). ""Eh ma alle 19.00 si fa l'aperitivo!!!""...bene, ma alla domanda se possiamo solo avere un drink senza fare l'aperitivo non rispondete sì!"
24 settembre 2021,30,Nella norma,"Location molto curata, in una zona molto tranquilla e rilassante. Ottimo cocktail e stuzzichini buoni. Un pochino caro il conto ma consigliabile"
8 settembre 2021,40,per colazione ....,"ci sono stato recentemente per colazione e ho trovato tutto eccellente, fresco e di qualità, quando sarò in zona ci tornerò senz'altro"
12 agosto 2021,30,Da rivedere,"4 aperitivi con amici, non dico che ci si debba abbuffare ma nemmeno arrivare a disputarci l'ultima oliva. Si può fare di più. Da rivedere."
2 agosto 2021,10,Caffè del lunedì mattina,"Primo caffè della giornata Passabile….miscela troppo forte, ovviamente va a gusto! Ma sul servizio e la maleducazione della persona alla cassa non posso passarci sopra. Cambia lavoro se ti pesa interagire con le persone! 2 Agosto h 9:45 ca"
12 febbraio 2021,50,Colazione,"Luogo accogliente, pulizia, personale cordiale e attento con la clientela. Felici della riapertura, sentivamo la mancanza. 👍👍👍"
7 febbraio 2021,10,NON CI SIAMO,"Un pallino non per i prodotti che sono ottimi ma per l’atteggiamento maleducato, scocciato ed irriverente della signora Liliana, motivo per cui era da tempo che non ci mettevo più piede. Oggi speravo che qualcosa fosse cambiato. Mi sbagliavo!"
12 ottobre 2020,10,Poco e caro,"Ieri sera aperitivo: 6 quadratiini di pizza, uno spritz tutto ghiaccio, una carotina , 4 olive , 10 euro.. Stamattina, non contento, ho preso 1 kg di pane a “lievitazione naturale” (mica un pane normale!), 8,50 euro. Subito le gabbie salariali!,,"
27 settembre 2020,20,NCSp (non ci siamo PROPRIOPERNIENTE),NCSp (non ci siamo PROPRIOPERNIENTE) Uno spritz 9 euro con 4 carotine e 4 tranci di pizza (scongelata) a persona. Che tristezza!
24 febbraio 2020,40,Buono!,Locale piccolo e sempre super affollato dove offrono un ottimo buffet aperitivo piuttosto vario e con prodotti freschi. Ampia selezione di vini e cocktail. unica pecca il prezzo un po' alto per chi magari beve solo. Sicuramente torneremo.
8 gennaio 2020,40,Colazione con vista,"Locale grande con un bel balcone e ben arredato: ottima e varia la colazione con tante scelte tra cornetti, torte, piccola pasticceria, pane e salato. Possibilità di mangiare anche outdoor con vista sulle nuove costruzioni."
4 novembre 2019,10,Imbarazzante chiamarlo aperitivo,"Per lo meno rispetto a quello che negli ultimi anni è diventato tale fenomeno a Milano. Quello che viene proposto qui è scarso nella quantità e nella qualità, oltre che costoso. Una vera tristezza."
2 novembre 2019,20,Sconsigliato per il brunch,"La formula brunch prevede 5-6 menù fissi tra i quali scegliere. Tutti i menù sono misti di dolci e piatti salati + succo e caffè. L'idea è carina, ma i piatti sono mediocri. Il prezzo (25€ a menù) decisamente esagerato."
20 ottobre 2019,50,Ottimo,Ci sono stato a far colazione con caffè e brioche. Il locale è molto carino e accogliente. Non fanno servizio al tavolo. Non c’era tanta gente e abbiamo trovato posto. Ho notato il servizio di brunch molto interessante ma non l’abbiamo provato.
17 settembre 2019,10,Pessimo servizio,"Bar molto fornito ma un servizio pessimo , fila alla cassa perché non ce nessuno, attesa per ordinare e personale maleducato , morale siamo scappati"
