13 marzo 2019,20,Molta scortesia,"Purtroppo non abbiamo avuto una bella esperienza in questo locale, il personale è stato molto scortese al limite della presa in giro, sfortunatamente anche i cocktail e il cibo non sono ull'altezza di una bella location che andrebbe valorizzata con un personale e degli alcolici di qualità"
12 marzo 2019,10,La scortesia costa cara!,Pagare 12 euro per un aperitivo abbastanza cattivo e sentirsi dire che se vuoi anche una patatina devi andare a prendetela dentro è veramente troppo anche per una persona molto paziente. Il buffet di cui sopra era una piccola accozzaglia di rimasugli unti freddi e poco invitanti molto lontana dalle mitiche happy hours milanesi.
12 marzo 2019,40,La colazione ideale,"Il luogo e' molto carino, specie se si fa colazione sul presto quando all'interno nn c'è troppo rumore , se no e meglio sedersi ai tavolini all'aperto . Le brioches sono buone ed I cappuccino e caffe' anche. Il personale molto gentile , organizzato e sorridente. Bella clientela . Lo consiglio vivamente ."
2 marzo 2019,10,Aperitivo...dove??,"Ieri sera h.19.50 locale pieno. Prendiamo cinque aperitivi (€12) e scopriamo che il buffet ....era vuoto. Pochi avanzi di riso e qualche pezzo di frittata... Gli addetti, molto gentili per altro: ""è finito"" ma come? Però ordinazione l'avete presa come aperitivo a 12euri. Abbiamo dovuto acquistare una pizza margherita (mediocre). Ci hanno offerto della focaccia bianca e un ciotolino-mini di patatine fritte... Basta, non ci vedrete più."
18 febbraio 2019,30,UN PUNTO DI RITROVO,"Il Pandenus di Corso Conordia è sicuramente un punto di ritrovo, che si parli di colazione o di aperitivi è sempre una garanzia. Ottime le centrifughe"
16 febbraio 2019,50,Un compleanno davvero speciale,"Ho pensato di festeggiare il mio 50 compleanno in questo bel locale con gli amici ....e non ho sbagliato. Ottimo il cibo di qualità e quantità e i drink eccellenti. La torta senza eguali, servizio gentile e disponibile. Grazie ancora al responsabile, al superbarman Kaled e a tutto lo staff! Consigliatissimo"
12 febbraio 2019,30,come tanti altri,"Aperitivo che io giudico solamente da come viene fatto il martini cocktail(ma forse sbaglio io..)ed in questo caso niente di che anzi...ok sapere fare i mojito o i pestati in genere ma quando si va sugli apertivi ""seri"" forse è il caso di non ""toppare "" se ti chiami Pandenus buffet discreto ma preso d'assalto continuamente . serivizio nella media cosi come i prezzi ma di locali cosi Milano è piena ."
8 febbraio 2019,50,Pollo al curry strepitoso,"Pranzo in settimana, peccato per il poco spazio del tavolino ma il piatto e’ stato davvero una sorpresa, basmati profumato e croccante, curry servito alla maniera originale a parte nel pentolino: stupendo!"
1 febbraio 2019,20,Un posto come un altro,Un normalissimo bar che non offre niente più di qualunque altro posto. Cibo buono ma nella media. Servizio altamente sgarbato e incompetente. Rapporto qualità-prezzo pessimo.
15 gennaio 2019,20,Scortesia e incompetenza in crescendo,"Locale molto carino, ottimi dolci e pizza. Purtroppo l’attenzione alle persone non e’ di casa. Personale poco attento e speso scortese. Peccato."
